date,E2,E3,E4
2023-05-22,42.2,32.1,34.4
2023-05-23,40.8,32.0,33.7
2023-05-24,39.4,31.8,33.0
2023-05-25,39.9,32.3,33.0
2023-05-26,40.4,32.8,33.0
2023-05-27,40.5,32.9,33.5
2023-05-28,40.7,32.9,33.9
2023-05-29,40.8,33.0,34.4
2023-05-30,41.3,33.1,34.7
2023-05-31,41.8,33.2,35.0
2023-06-01,41.7,33.2,35.4
2023-06-02,41.6,33.2,35.8
2023-06-03,41.9,33.4,35.7
2023-06-04,42.3,33.6,35.5
2023-06-05,42.6,33.8,35.4
2023-06-06,43.5,33.7,36.5
2023-06-07,44.4,33.6,37.6
2023-06-08,44.7,33.6,37.6
2023-06-09,45.0,33.6,37.6
2023-06-10,45.0,33.4,37.8
2023-06-11,45.1,33.3,37.9
2023-06-12,45.1,33.1,38.1
2023-06-13,45.2,33.0,38.2
2023-06-14,45.2,32.8,38.4
2023-06-15,45.3,33.2,38.3
2023-06-16,45.4,33.6,38.1
2023-06-17,45.5,34.0,38.0
2023-06-18,45.5,34.4,37.8
2023-06-19,45.6,34.8,37.7
2023-06-20,45.7,35.2,37.5
2023-06-21,45.8,35.6,37.4
2023-06-22,45.6,35.9,37.4
2023-06-23,45.5,36.2,37.3
2023-06-24,45.3,36.4,37.3
2023-06-25,45.2,36.7,37.2
2023-06-26,45.0,37.0,37.2
2023-06-27,43.5,35.4,36.5
2023-06-28,42.0,33.8,35.8
2023-06-29,42.6,34.9,36.2
2023-06-30,43.3,36.0,36.6
2023-07-01,44.5,34.9,36.9
2023-07-02,45.8,33.9,37.3
2023-07-03,47.0,32.8,37.6
2023-07-04,46.1,33.2,37.4
2023-07-05,45.2,33.6,37.2
2023-07-06,46.1,34.6,38.2
2023-07-07,47.0,35.6,39.2
2023-07-08,46.9,35.7,39.1
2023-07-09,46.8,35.8,39.0
2023-07-10,46.8,35.8,38.8
2023-07-11,46.7,35.9,38.7
2023-07-12,46.6,36.0,38.6
2023-07-13,46.3,36.2,38.5
2023-07-14,46.0,36.3,38.4
2023-07-15,45.6,36.5,38.2
2023-07-16,45.3,36.6,38.1
2023-07-17,45.0,36.8,38.0
2023-07-18,47.2,37.6,38.1
2023-07-19,49.4,38.4,38.2
2023-07-20,50.0,37.8,37.6
2023-07-21,50.6,37.2,37.0
2023-07-22,49.9,37.4,37.8
2023-07-23,49.1,37.6,38.6
2023-07-24,48.4,37.8,39.4
2023-07-25,48.6,37.3,38.4
2023-07-26,48.8,36.8,37.4
2023-07-27,48.8,37.2,38.3
2023-07-28,48.8,37.6,39.2
2023-07-29,48.5,37.2,39.0
2023-07-30,48.2,36.9,38.9
2023-07-31,48.0,36.5,38.7
2023-08-01,47.7,36.2,38.6
2023-08-02,47.4,35.8,38.4
2023-08-03,47.7,36.0,38.5
2023-08-04,48.0,36.1,38.6
2023-08-05,48.3,36.3,38.7
2023-08-06,48.5,36.5,38.9
2023-08-07,48.8,36.7,39.0
2023-08-08,49.1,36.8,39.1
2023-08-09,49.4,37.0,39.2
2023-08-10,49.8,37.1,39.3
2023-08-11,50.1,37.2,39.4
2023-08-12,50.5,37.3,39.5
2023-08-13,50.9,37.3,39.7
2023-08-14,51.3,37.4,39.8
2023-08-15,51.6,37.5,39.9
2023-08-16,52.0,37.6,40.0
2023-08-17,51.9,37.7,39.9
2023-08-18,51.8,37.8,39.8
2023-08-19,51.7,37.9,39.7
2023-08-20,51.5,38.0,39.5
2023-08-21,51.4,38.1,39.4
2023-08-22,51.3,38.2,39.3
2023-08-23,51.2,38.3,39.2
2023-08-24,51.4,38.4,39.4
2023-08-25,51.6,38.4,39.6
2023-08-26,51.8,38.5,39.8
2023-08-27,52.0,38.6,40.0
2023-08-28,52.2,38.7,40.2
2023-08-29,52.4,38.7,40.4
2023-08-30,52.6,38.8,40.6
2023-08-31,52.7,38.9,40.6
2023-09-01,52.9,39.0,40.6
2023-09-02,53.0,39.1,40.6
2023-09-03,53.2,39.1,40.6
2023-09-04,53.3,39.2,40.6
2023-09-05,53.5,39.3,40.6
2023-09-06,53.6,39.4,40.6
2023-09-07,53.5,39.5,40.6
2023-09-08,53.5,39.6,40.6
2023-09-09,53.4,39.7,40.6
2023-09-10,53.4,39.7,40.6
2023-09-11,53.3,39.8,40.6
2023-09-12,53.3,39.9,40.6
2023-09-13,53.2,40.0,40.6
2023-09-14,53.1,39.9,40.5
2023-09-15,53.0,39.7,40.5
2023-09-16,52.9,39.6,40.4
2023-09-17,52.9,39.4,40.4
2023-09-18,52.8,39.3,40.3
2023-09-19,52.7,39.1,40.3
2023-09-20,52.6,39.0,40.2
2023-09-21,52.7,38.9,40.3
2023-09-22,52.7,38.9,40.4
2023-09-23,52.8,38.8,40.5
2023-09-24,52.8,38.8,40.5
2023-09-25,52.9,38.7,40.6
2023-09-26,52.9,38.7,40.7
2023-09-27,53.0,38.6,40.8
2023-09-28,53.0,38.6,40.6
2023-09-29,53.1,38.7,40.5
2023-09-30,53.1,38.7,40.3
2023-10-01,53.1,38.7,40.1
2023-10-02,53.1,38.7,39.9
2023-10-03,53.2,38.8,39.8
2023-10-04,53.2,38.8,39.6
2023-10-05,53.1,38.7,39.5
2023-10-06,53.0,38.6,39.4
2023-10-07,53.0,38.4,39.4
2023-10-08,52.9,38.3,39.3
2023-10-09,52.8,38.2,39.2
