compound,isomer,breed,parity,max_feed_concentration_ug_kg_DMI,regulatory_limit_ug_kg_milk
PFOS,Linear,Alpine,primiparous,0.08,0.02
PFOS,Linear,Alpine,multiparous,0.08,0.02
PFOS,Linear,Saanen,primiparous,0.08,0.02
PFOS,Linear,Saanen,multiparous,0.08,0.02
PFOS,Linear,Holstein_cow,primiparous,0.09,0.02
PFOS,Linear,Holstein_cow,multiparous,0.08,0.02
PFOA,Linear,Alpine,primiparous,5.15,0.01
PFOA,Linear,Alpine,multiparous,6.48,0.01
PFOA,Linear,Saanen,primiparous,5.36,0.01
PFOA,Linear,Saanen,multiparous,6.97,0.01
PFOA,Linear,Holstein_cow,primiparous,8.14,0.01
PFOA,Linear,Holstein_cow,multiparous,6.4,0.01
PFNA,Linear,Alpine,primiparous,0.89,0.05
PFNA,Linear,Alpine,multiparous,1.09,0.05
PFNA,Linear,Saanen,primiparous,0.93,0.05
PFNA,Linear,Saanen,multiparous,1.17,0.05
PFNA,Linear,Holstein_cow,primiparous,1.39,0.05
PFNA,Linear,Holstein_cow,multiparous,1.14,0.05
PFHxS,Linear,Alpine,primiparous,2.46,0.06
PFHxS,Linear,Alpine,multiparous,3.0,0.06
PFHxS,Linear,Saanen,primiparous,2.55,0.06
PFHxS,Linear,Saanen,multiparous,3.24,0.06
PFHxS,Linear,Holstein_cow,primiparous,3.18,0.06
PFHxS,Linear,Holstein_cow,multiparous,2.62,0.06
