Compound,Isomer,t_half_system_days,t_half_fast_days,transfer_rate,functional_group,chain_length
PFDA,Branched,2.3278285557523106,0.0006219752107766091,0.020675453149406768,PFCA,10
PFDA,Linear,14.975631646889298,0.0006248429576394304,0.10638703880187192,PFCA,10
PFDS,Branched,12.205923228567809,0.0005912890142050245,0.014068622748771598,PFSA,10
PFDS,Linear,10.69588482749949,0.001219440337494487,0.016136005815793785,PFSA,10
PFDoDA,Linear,14.473220787233153,0.0006248516781311751,0.038615834713270326,PFCA,12
PFDoDS,Branched,2.6377739437528374,0.0006247974355227988,0.0032017384429580777,PFSA,12
PFHxS,Linear,10.158447356067871,0.0006248414727275994,0.007110909011111899,PFSA,6
PFNS,Branched,19.32652527775691,0.0005533829228656021,0.08345936132808149,PFSA,9
PFNS,Linear,14.567405181758016,0.0010966831809372485,0.07043115504647474,PFSA,9
PFOS,Branched,25.207429865630846,0.00041614488983767915,0.12705045023387296,PFSA,8
PFOS,Linear,22.11786368198863,0.0007123268355888166,0.13066331416517254,PFSA,8
PFTrDA,Linear,13.56067926678185,0.0006248500626413252,0.017705033802567185,PFCA,13
PFTrDS,Branched,0.8501393051941002,0.000624551696560429,0.0011112864457795328,PFSA,13
PFUnDA,Linear,16.078270584056682,0.0006248540737133112,0.07536375113636959,PFCA,11
PFUnDS,Branched,8.362814763838964,0.0006247156397929948,0.007834566182233611,PFSA,11
