Compound,Isomer,transfer_rate
PFBA,Linear,0.005568911248592
PFBS,Linear,0.0
PFDA,Branched,0.010766418758649234
PFDA,Linear,0.20527872657033597
PFDS,Branched,0.016781170932004066
PFDS,Linear,0.0316298133331928
PFDoDA,Branched,0.0225316404326857
PFDoDA,Linear,0.06422685111163473
PFDoDS,Branched,0.0017271795917812999
PFDoDS,Linear,0.011077411339436566
PFECHS,Linear,
PFHpA,Branched,0.0
PFHpA,Linear,0.0
PFHpS,Branched,
PFHpS,Linear,0.06646950530701773
PFHxA,Linear,0.0
PFHxS,Branched,0.0
PFHxS,Linear,0.012214716020806766
PFNA,Branched,0.0023893503526381667
PFNA,Linear,0.021118996662106232
PFNS,Branched,0.10365810904897677
PFNS,Linear,0.1462775350857725
PFOA,Branched,0.00045029797162743335
PFOA,Linear,0.0011268126757965331
PFOS,Branched,0.1990511675638018
PFOS,Linear,0.24556710672322812
PFPeA,Linear,0.00042414799389986664
PFPeS,Linear,
PFTeDA,Branched,0.0033306723096053
PFTeDA,Linear,0.0087434097615703
PFTrDA,Branched,0.012334930244984067
PFTrDA,Linear,0.030119206427499934
PFTrDS,Branched,0.0006199281437561334
PFTrDS,Linear,0.006855877614599133
PFUnDA,Branched,0.05508039382847566
PFUnDA,Linear,0.1550431007603171
PFUnDS,Branched,0.0053491679149688665
PFUnDS,Linear,0.021846647655973665
SD PFCA,Linear,
SD PFSA,Linear,
Sum,Linear,
Sum EFSA-4,Linear,
Sum branched,Linear,
Sum linear,Linear,
Summe PFCA,Linear,
Summe PFSA,Linear,
√((∑SD)^2/Anzahl PFAS),Linear,
