Matrix,Sigma,Compound,Isomer
spleen,0.19211920517144565,PFNS,Linear
liver,0.1999627222143362,PFNS,Linear
rest,0.4,PFNS,Linear
intestine,0.4,PFNS,Linear
stomach,0.4,PFNS,Linear
heart,0.10453043009943389,PFNS,Linear
kidney,0.3748382924187622,PFNS,Linear
brain,0.20009723775791985,PFNS,Linear
lung,0.28090902047991034,PFNS,Linear
plasma,0.5699019200781847,PFNS,Linear
feces,0.703310508850838,PFNS,Linear
urine,1.428828392145921,PFNS,Linear
muscle,0.3739102858273738,PFNS,Linear
milk,0.5461242649214656,PFNS,Linear
